StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,SitingDesc,lat,lon,elev_ft,connect,disconnect,elev_m,dist_to_almond_km,in_window
11,Bakersfield/Bonanza,Conner,South Central Region Office,Kern,9/29/1982,4/17/1986,False,True,290,Grass,35º9'38N / 35.160556,-119º10'51W / -119.18083,,35.160556,-119.18083,290,1982-09-29,1986-04-17,88.39200000000001,3.53,False
12,Durham,Chico,Northern Region Office,Butte,10/19/1982,7/30/2025,False,True,130,Grass,39º36'31N / 39.608639,-121º49'28W / -121.82443,"DATE: 11-12-02<br />
<br />
 STATION#:12<br />
 STATION NAME: Durham<br />
 ETO ZONE: 12<br />
 PREVAILING WINDS: SW <br />
 LOCAL CHARACTER: Rural area with predominately tree crops such as almonds, plums and peaches. Row crops, tomatoes and beans, are common as well.<br />
<br />
 DESCRIPTION OF STATION SITE:<br />
 Located on a private farm in a little used sprinkler irrigated pasture. A wire fence surrounds the station.<br />
<br />
 NORTH:<br />
 300ft: Irrigated pasture<br />
<br />
 EAST:<br />
 75ft: Irrigated pasture<br />
 75-500 ft: Row crops (usually beans or tomato)<br />
<br />
 SOUTH:<br />
 200ft: Irrigated pasture<br />
 200-225ft: Unpaved farm lane<br />
 225-500 ft: Row crops (usually beans or tomato)<br />
<br />
 WEST:<br />
 75ft: Irrigated pasture<br />
 75ft: Unknown type tree approximately 50ft tall<br />
 75-200ft: Irrigated pasture<br />
 200ft: Farm buildings and paddocks<br />
<br />
 COMMENTS:<br />
 Pasture varies in quality due to how many livestock are available for grazing and the frequency of irrigation, which can be somewhat erratic. The raingauge is covered, usually, when the site is sprinkler irrigated. The raingauge is sometimes not uncovered when the winter rains begin.&nbsp; Site was discontinued due to a land use change in 2025",39.608639,-121.82443,130,1982-10-19,2025-07-30,39.624,0.16,True
13,Camino,Placerville,North Central Region Office,El Dorado,10/19/1982,12/31/2050,True,True,2780,Grass,38º45'11N / 38.753136,-120º44'1W / -120.7336,"DATE: 11-12-02<br />
 STATION #: 13<br />
 STATION NAME: Camino ETO<br />
 ZONE: 13<br />
 PREVAILING WINDS: SW<br />
 LOCAL CHARACTER: Located on the USDA Forest Service Nursery. It is in a rolling hill area that is primarily agricultural in nature -- Orchards, vineyards, forest products. Many rural residences are scattered in the area. DESCRIPTION OF STATION SITE: A relatively small grass plot surrounded by newly transplanted pines (typically) that are grown for repopulating burned forest areas. The small trees are grown for a season and then removed for transplanting essentially a row crop environment. NORTH: 25ft: Grass 25-50ft: Gravel drive 50ft: Utility buildings and gravel drives EAST: 25ft: Grass 25-40ft: Annual grasses (approx 10% cover) 40-60ft: Asphalt road 60ft: Green houses SOUTH: 25ft: Grass 25-50ft: Annual grasses (approx 10% cover) 50ft: 12ft Nursery pines WEST: 25ft: Grass 25-50ft: Annual grasses (approx 10% cover) 50ft: 12ft Nursery pines COMMENTS: Grass around station may be droughty. The pines seedling area may be fallow for a year or so with a grassy cover crop",38.753136,-120.7336,2780,1982-10-19,2050-12-31,847.344,42.69,True
14,Orland,Orland,Northern Region Office,Glenn,10/30/1982,4/21/1987,False,True,235,Grass,39º44'22N / 39.739444,-122º10'17W / -122.17139,,39.739444,-122.17139,235,1982-10-30,1987-04-21,71.628,0.22,False
15,Stratford,Stratford,South Central Region Office,Kings,10/29/1982,12/31/2050,True,True,193,Grass,36º9'29N / 36.157972,-119º51'5W / -119.85143,"DATE: 11-12-02<br />
<br />
STATION#:15<br />
STATION NAME: Stratford<br />
ETO ZONE: 16<br />
PREVAILING WINDS: N<br />
<br />
LOCAL CHARACTER: Primarily agriculture. Principle crops include orchards, hay, cotton, and some truck farming.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on a flood-irrigated pasture of a dairy operation. The landowner grazes sufficient cattle to maintain a relative constant grass height.<br />
<br />
NORTH:<br />
200ft: pasture grass<br />
<br />
EAST :<br />
300 ft: pasture grass<br />
<br />
SOUTH:<br />
300 ft: pasture grass<br />
<br />
WEST:<br />
500ft: pasture grass<br />
<br />
COMMENTS:<br />
Pasture grass is sometimes in poor condition due to lack of maintenance and uneven irrigation. When the pasture is irrigated, it is flooded to 60 ft in from the north along the perimeter of the field with a tapering off across the field.",36.157972,-119.85143,193,1982-10-29,2050-12-31,58.8264,4.41,True
16,San Juan,Watsonville,South Central Region Office,Monterey,10/23/1982,8/24/1995,False,True,44,Grass,36º54'17N / 36.904722,-121º42'11W / -121.70306,,36.904722,-121.70306,44,1982-10-23,1995-08-24,13.411200000000001,63.32,False
17,El Centro,Meloland,Southern Region Office,Imperial,11/8/1982,5/27/1987,False,True,-86,Grass,32º50'47N / 32.846389,-115º26'54W / -115.44833,,32.846389,-115.44833,-86,1982-11-08,1987-05-27,-26.2128,106.65,False
18,Westmorland,Westmorland,Southern Region Office,Imperial,11/11/1982,4/9/1986,False,True,-195,Grass,33º4'39N / 33.0775,-115º36'50W / -115.61389,,33.0775,-115.61389,-195,1982-11-11,1986-04-09,-59.436,103.41,False
19,Castroville,Castroville,South Central Region Office,Monterey,11/18/1982,11/20/2019,False,False,9,Grass,36º46'5N / 36.768167,-121º46'25W / -121.77364,"DATE: 11-12-02<br/><br/> 
STATION#:19<br/>                        STATION NAME: Castroville<br/>
ETO ZONE: 2<br/>		
PREVAILING WINDS: W-NW<br/>
LOCAL CHARACTER: This is a year-round intensively farmed agricultural area.  Primary crops include artichokes, strawberries, salad ingredients and brussel sprouts.<br/><br/> 

DESCRIPTION OF STATION SITE:<br/>
The station is located in a set-aside portion of an artichoke field adjacent to Tembladero Slough which is tidal field drain conduit.  It has a small grass plot.<br/><br/> 

NORTH:<br/>
25ft: Poorly maintained grass<br/>
25-100ft: Farm road -- unpaved<br/>
100-200ft: Tembladero Slough and unpaved farm road on further bank<br/><br/>

EAST :<br/>
25ft: Poorly maintained grass<br/>
25-50ft: Farm road ? unpaved<br/>
50-300+ft: Artichoke field<br/><br/>

SOUTH:<br/>
25ft: Poorly maintained grass<br/>
25-300+ft: Artichoke field<br/><br/>

WEST:<br/>
25ft: Poorly maintained grass<br/>
25-300+ft: Artichoke field<br/><br/>

COMMENTS:<br/>
For most of the year, this site (and  ETo) is influenced almost entirely by the movement of the marine layer.   Monterey Bay lies approximately one mile to the Northwest.",36.768167,-121.77364,9,1982-11-18,2019-11-20,2.7432000000000003,75.46,True
20,Corcoran,Corcoran,South Central Region Office,Kings,11/22/1982,4/9/1986,False,True,190,Grass,36º2'25N / 36.040278,-119º34'22W / -119.57278,,36.040278,-119.57278,190,1982-11-22,1986-04-09,57.912000000000006,5.27,False
21,Kettleman,Kettleman City,South Central Region Office,Kings,11/19/1982,9/1/2017,False,True,340,Grass,35º52'4N / 35.86775,-119º53'42W / -119.8949,,35.86775,-119.8949,340,1982-11-19,2017-09-01,103.632,2.58,True
22,Caruthers,Laton,South Central Region Office,Kings,11/18/1982,6/6/1988,False,True,238,Grass,36º29'25N / 36.490278,-119º46'45W / -119.77917,,36.490278,-119.77917,238,1982-11-18,1988-06-06,72.5424,0.54,False
23,King City,King City,South Central Region Office,Monterey,11/19/1982,12/23/1985,False,True,300,Grass,36º10'28N / 36.174444,-121º7'2W / -121.11722,,36.174444,-121.11722,300,1982-11-19,1985-12-23,91.44,61.46,False
24,Thermal,Thermal,Southern Region Office,Riverside,11/22/1982,3/3/1986,False,True,-120,Grass,33º37'52N / 33.631111,-116º6'43W / -116.11194,,33.631111,-116.11194,-120,1982-11-22,1986-03-03,-36.576,136.89,False
25,Rancho Mirage,Rancho Mirage,Southern Region Office,Riverside,11/22/1982,11/20/1985,False,True,240,Grass,33º45'52N / 33.764444,-116º25'26W / -116.42389,,33.764444,-116.42389,240,1982-11-22,1985-11-20,73.152,167.3,False
26,Lost Hills,Lost Hills,Southern Region Office,Kern,11/29/1982,8/13/1986,False,True,410,Grass,35º30'19N / 35.505278,-119º41'23W / -119.68972,,35.505278,-119.68972,410,1982-11-29,1986-08-13,124.968,3.02,False
27,Zamora,Woodland,North Central Region Office,Yolo,12/5/1982,1/20/2006,False,True,50,Grass,38º48'32N / 38.808758,-121º54'27W / -121.90754,"DATE: 11-12-02<br />
 STATION#27<br />
 STATION NAME: Zamora<br />
 ETO ZONE: 12<br />
 PREVAILING WINDS: W-SW<br />
 LOCAL CHARACTER: Agricultural region<br />
 DESCRIPTION OF STATION SITE: Located in a sprinkler-irrigated pasture on a private farm. The station is enclosed in a wire stock fence approximately 30 ft x 30 ft. NORTH: 200 ft Irrigated pasture 200 ft: Row of old Black Walnut trees. 200 ft-250 ft Paved road and shoulder EAST: 300 ft: Irrigated pasture SOUTH: 125 ft: Irrigated pasture 125 ft: Row cropped WEST: 300 ft: Irrigated pasture COMMENTS: This station consistantly records erroneous precipitation due to sprinkler irrigation.",38.808758,-121.90754,50,1982-12-05,2006-01-20,15.24,0.0,False
28,Soledad,Soledad,South Central Region Office,Monterey,1/4/1983,2/11/1987,False,True,170,Grass,36º26'51N / 36.4475,-121º21'51W / -121.36417,,36.4475,-121.36417,170,1983-01-04,1987-02-11,51.816,63.82,False
29,Cantua Creek,Cantua Creek,South Central Region Office,Fresno,1/2/1983,7/23/1985,False,True,275,Grass,36º30'59N / 36.516389,-120º18'52W / -120.31444,,36.516389,-120.31444,275,1983-01-02,1985-07-23,83.82000000000001,0.0,False
30,Nicolaus,Nicolaus,North Central Region Office,Sutter,1/3/1983,12/29/2011,False,True,32,Grass,38º52'14N / 38.8706,-121º32'46W / -121.54608,"DATE: 11-12-02<br />
STATION#:30<br />
STATION NAME: Nicolaus<br />
ETO ZONE: 12<br />
PREVAILING WINDS: S <br />
LOCAL CHARACTER: Agricultural region<br />
DESCRIPTION OF STATION SITE: Located in a large flood irrigated pasture on a cattle ranch. The station is enclosed in an approximately 30'x30' fenced area. Additional equipment and sensors are located here to provide &quot;agroclimate&quot; data for the DWR Central District. An evaporation pan is co-located. NORTH: 1000 ft: Irrigated pasture EAST: 550': Irrigated pasture SOUTH: 1000 ft: Irrigated pasture WEST: 1000 ft: Irrigated pasture COMMENTS: The pasture is used to graze cattle. The number of animals utilizing the field may vary from year to year depending on markets and available water. As a consequence grazeing practices and grass height, at times, may affect environmental conditions near the station.",38.8706,-121.54608,32,1983-01-03,2011-12-29,9.7536,0.52,False
31,McFarland/Kern Farms,McFarland,South Central Region Office,Kern,1/11/1983,3/8/1993,False,True,480,Grass,35º42'10N / 35.702722,-119º9'13W / -119.15355,,35.702722,-119.15355,480,1983-01-11,1993-03-08,146.304,0.19,False
32,Colusa,Colusa,Northern Region Office,Colusa,1/13/1983,8/12/2016,False,True,55,Grass,39º13'37N / 39.226861,-122º1'29W / -122.0248,"DATE: 11-12-02<br />
<br />
STATION#:32<br />
STATION NAME: Colusa<br />
ETO ZONE: 12<br />
PREVAILING WINDS: SE<br />
LOCAL CHARACTER: Rural area with predominately tree crops such as almonds, plums and peaches. Row crops, tomatoes and beans, are common as well.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on a private farm in a little used flood irrigated pasture. A wire fence surrounds the station.<br />
<br />
NORTH:<br />
300  ft: Pasture<br />
<br />
EAST:<br />
300  ft: Pasture<br />
<br />
SOUTH:<br />
300  ft: Pasture<br />
<br />
WEST:<br />
300  ft: Pasture<br />
<br />
COMMENTS:<br />
The pasture surrounding the station is in poor condition. It is need of a significant renewal and improvement in the irrigation practices. The grass is typically droughty and weedy in the summer and has sparse cover over the entire area.",39.226861,-122.0248,55,1983-01-13,2016-08-12,16.764,0.42,True
33,Visalia,Visalia,South Central Region Office,Tulare,1/5/1983,3/1/2007,False,True,350,Grass,36º18'4N / 36.301056,-119º13'28W / -119.22453,"DATE: 11-18-02<br/><br/>
STATION#:33<br/>                        STATION NAME: Visalia<br/> 
ETO ZONE: 12<br/>  
PREVAILING WINDS: NW<br/>  
LOCAL CHARACTER: Located in a somewhat intensive agricultural area.<br/><br/>  

DESCRIPTION OF STATION SITE:<br/>
The station has been installed on the experimental plots of an ag-chemical company.<br/><br/> 

NORTH:<br/>
20ft: Turf<br/>
20-100ft: Rose bushes and bare soil<br/>
100-125ft: Paved access road<br/>
125ft: Experimental plots/fallow fields<br/><br/>

EAST:<br/>
20ft: Turf<br/>
20-80ft: Bare soil<br/>
80-100ft: Unpaved access road<br/>
100ft: 4` Hedge<br/>
100ft: Facility buildings/lawn<br/><br/>

SOUTH:<br/>
20ft: Turf<br/>
20-100+ ft: Bare soil/test plots<br/>
100-300+ ft: Grass<br/><br/>

WEST:<br/>
20ft: Turf<br/>
20-100+ ft: Bare soil/test plots<br/>
100-120ft: Unpaved access road<br/>
120-175ft: Paved road w/shoulders<br/>
175ft: Fallow field<br/><br/>

COMMENTS:<br/>
This is a severely constrained site.  ETo from this site should be used only with caution.",36.301056,-119.22453,350,1983-01-05,2007-03-01,106.68,0.99,False
34,Rancho California,Rancho California,Southern Region Office,Riverside,1/21/1983,11/25/1986,False,True,1820,Grass,33º29'19N / 33.488611,-117º11'55W / -117.19861,,33.488611,-117.19861,1820,1983-01-21,1986-11-25,554.736,223.17,False
35,Bishop,Bishop,Southern Region Office,Inyo,2/4/1983,12/31/2050,True,True,4170,Grass,37º21'31N / 37.358514,-118º24'20W / -118.40553,"DATE: 11-18-02<br />
<br />
STATION#:35<br />
STATION NAME: Bishop<br />
ETO ZONE: 14<br />
PREVAILING WINDS: W<br />
LOCAL CHARACTER: Rural area with combined recreational and agricultural activities. Agriculture activity includes cow-calf ranching, alfalfa and other hay.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on the grounds of Bishop High School Vocational-Agriculture farm. The station is protected from livestock by a 20x30ft wire fenced enclosure. The pasture is flood irrigated and is not utilized efficiently.<br />
<br />
NORTH:<br />
75ft: Pasture<br />
75 ft: Hog pens and other farm buildings/parking areas<br />
<br />
EAST:<br />
175ft: Pasture<br />
175-230ft: Paved road and gravel shoulders<br />
230 ft: Houses<br />
<br />
SOUTH:<br />
250ft: Pasture<br />
<br />
WEST:<br />
250ft: Pasture<br />
<br />
COMMENTS:<br />",37.358514,-118.40553,4170,1983-02-04,2050-12-31,1271.016,108.55,True
36,Blythe,Blythe,Southern Region Office,Riverside,3/13/1983,8/12/1988,False,True,270,Grass,33º39'17N / 33.654722,-114º33'29W / -114.55806,,33.654722,-114.55806,270,1983-03-13,1988-08-12,82.296,15.78,False
37,USDA Salinas,Salinas,South Central Region Office,Monterey,4/11/1983,7/27/1992,False,True,120,Grass,36º37'14N / 36.620556,-121º32'43W / -121.54528,,36.620556,-121.54528,120,1983-04-11,1992-07-27,36.576,70.15,False
38,Santa Maria,Santa Maria,Southern Region Office,Santa Barbara,5/3/1983,4/27/1999,False,True,270,Grass,34º57'16N / 34.954444,-120º23'3W / -120.38417,,34.954444,-120.38417,270,1983-05-03,1999-04-27,82.296,65.59,False
39,Parlier,Parlier,South Central Region Office,Fresno,5/23/1983,12/31/2050,True,True,337,Grass,36º35'51N / 36.597444,-119º30'15W / -119.50404,"DATE: 11-12-02<br/><br/>
STATION#:39<br/>                             STATION NAME: Parlier<br/>
ETO ZONE: 12<br/>
PREVAILING WINDS: NW<br/> 
LOCAL CHARACTER: Primarily agricultural area.  Large fields of cotton, grapes and orchards characterize regional farming operations.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
Located on a University of California research facility.  The station is in a flood-irrigated plot with a mixed clover/grass cover.<br/><br/>  

NORTH:<br/>
100ft: Grass-clover<br/> 
100-300+ ft: Research plots and instrumentation.<br/><br/>

EAST:<br/>
75ft: Grass-clover<br/>
75ft: Orchard<br/><br/>

SOUTH:<br/>
100ft: Grass-clover<br/>
100-125ft: Paved access road<br/>
125ft: Research plot with grapes<br/><br/>

WEST:<br/>
100ft: Grass-clover<br/>
100-200ft: Paved landing strip and aircraft parking area.<br/><br/>

COMMENTS:<br/>
The area around the station plot is subject to change as the requirements of the research facility change.",36.597444,-119.50404,337,1983-05-23,2050-12-31,102.7176,0.95,True
40,Mendota/MuriettaUSDA,Mendota,South Central Region Office,Fresno,6/14/1983,4/15/1992,False,True,187,Grass,36º41'0N / 36.683333,-120º23'14W / -120.38722,,36.683333,-120.38722,187,1983-06-14,1992-04-15,56.997600000000006,5.17,False
41,Calipatria/Mulberry,Calipatria,Southern Region Office,Imperial,7/17/1983,12/31/2050,True,True,-110,Grass,33º2'35N / 33.042986,-115º24'57W / -115.41585,"DATE: 11-12-02<br />
<br />
STATION#:41<br />
STATION NAME: Calipatria<br />
ETO ZONE: 18<br />
PREVAILING WINDS: S<br />
LOCAL CHARACTER: Desert agricultural area. Predominant crops include alfalfa, salad vegetables and sugar beets.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station is located on the grounds of Mulberry school. The grounds are a flood irrigated Bermuda grass plot with some bare soil areas. It is enclosed within a 25x25ft 3ft chain link fence. An evaporation pan is co-located at this site.<br />
<br />
NORTH:<br />
300 ft: Grass<br />
<br />
EAST:<br />
90ft: Grass<br />
90-160ft: Paved road and shoulder.<br />
160ft: Fallow field<br />
<br />
SOUTH:<br />
75ft: Grass<br />
75ft-150ft: Unpaved lane.<br />
160ft: Fallow field/row crops<br />
<br />
WEST:<br />
200ft: Grass<br />
200ft: School playing field/parking area.<br />
<br />
COMMENTS:<br />",33.042986,-115.41585,-110,1983-07-17,2050-12-31,-33.528,89.97,True
42,Lodi,Lodi,North Central Region Office,San Joaquin,10/16/1983,1/18/2001,False,True,23,Grass,38º6'34N / 38.109444,-121º20'46W / -121.34611,,38.109444,-121.34611,23,1983-10-16,2001-01-18,7.010400000000001,0.1,False
43,McArthur,Glenburn,Northern Region Office,Shasta,10/31/1983,12/31/2050,True,True,3310,Grass,41º3'50N / 41.063767,-121º27'22W / -121.45602,"DATE: 11-12-02<br />
<br />
STATION#:43 <br />
STATION NAME: McArthur<br />
ETO ZONE: 7<br />
PREVAILING WINDS: W<br />
LOCAL CHARACTER: Remote area in the Northeast Plateau area of California. It is characterized as an agricultural/recreation region. Crops include hay, strawberry plants, and wild rice.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on a private farm in the corner of a large flood irrigated pasture. It is protected from livestock by a wire enclosure. Additional instrumentation and an evaporation pan are included in the enclosure to provide agroclimate data.<br />
<br />
NORTH:<br />
500  ft: Irrigated pasture<br />
<br />
EAST:<br />
500  ft: Irrigated pasture<br />
<br />
SOUTH:<br />
500  ft: Irrigated pasture<br />
<br />
WEST:<br />
75ft: Irrigated pasture 75-100ft: elevated unpaved farm lane<br />
100-500  ft: Irrigated pasture<br />
<br />
COMMENTS:<br />
The landowner typically allows the pasture grass to grow to approximately 3ft when it is dried off, cut and baled for winter fodder. The pasture is then irrigated used for grazing for the remainder of the year. Depending on grazing pressure, the grass may be 3-12 inches tall for portions of the year. When water supplies are low, the pasture may be allowed to go fallow early in the season.",41.063767,-121.45602,3310,1983-10-31,2050-12-31,1008.888,100.12,True
44,U.C. Riverside,Riverside,Southern Region Office,Riverside,6/2/1985,12/31/2050,True,True,1020,Grass,33º57'54N / 33.964942,-117º20'13W / -117.33698,,33.964942,-117.33698,1020,1985-06-02,2050-12-31,310.896,177.18,True
45,San Diego,San Diego,Southern Region Office,San Diego,6/9/1985,4/27/1989,False,True,370,Grass,32º47'12N / 32.786667,-117º8'7W / -117.13528,,32.786667,-117.13528,370,1985-06-09,1989-04-27,112.77600000000001,246.81,False
46,MacDoel,MacDoel,Northern Region Office,Siskiyou,11/11/1985,6/11/1986,False,True,4254,Grass,41º47'32N / 41.792222,-122º3'49W / -122.06361,,41.792222,-122.06361,4254,1985-11-11,1986-06-11,1296.6192,159.65,False
47,Brentwood,Brentwood,North Central Region Office,Contra Costa,11/18/1985,12/31/2050,True,True,45,Grass,37º55'42N / 37.928258,-121º39'36W / -121.6599,"DATE: 9-6-23<br />
 <br />
 STATION #:47<br />
 STATION NAME: Brentwood<br />
 ETO ZONE: 14<br />
 PREVAILING WINDS: NW<br />
 LOCAL CHARACTER: Agricultural area although significant housing developments are moving into the area. The crops in this area include tree fruits, strawberries and vegetables.<br />
 <br />
 DESCRIPTION OF STATION SITE: Located on a private farm east of Brentwood. The turf is irrigated with installed sprinklers and is maintained by the Resource Conservation District. There is a 20`x20` chainlink fenced enclosure around the station.<br />
 <br />
 NORTH:<br />
 100ft: Turf<br />
 100ft: Rotating vegetables, e.g. tomatoes and corn<br />
 <br />
 EAST:<br />
 100ft: Turf, then Irrigated pasture<br />
 <br />
 SOUTH:<br />
 100ft: Turf<br />
 100-150ft: East Contra Costa Irrigation District canal and unpaved access road<br />
 150ft: Rotating vegetables<br />
 <br />
 WEST:<br />
 100ft: Turf<br />
100-150ft: East Contra Costa Irrigation District canal and unpaved access road<br />
 150ft: Rotating vegetables<br />
 <br />
 COMMENTS:<br />
<span style=""font-size:11.0pt;font-family:calibri,sans-serif;mso-fareast-font-family:calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language:en-us;mso-fareast-language:en-us;mso-bidi-language:ar-sa"">This site is regularly irrigated and maintained.</span>",37.928258,-121.6599,45,1985-11-18,2050-12-31,13.716000000000001,0.52,True
48,Tulelake,Tulelake,Northern Region Office,Siskiyou,2/3/1986,9/30/1993,False,True,4042,Grass,42º0'12N / 42.003333,-121º25'36W / -121.42667,,42.003333,-121.42667,4042,1986-02-03,1993-09-30,1232.0016,193.66,False
49,Oceanside,Oceanside,Southern Region Office,San Diego,3/11/1986,10/29/2003,False,False,50,Grass,33º15'21N / 33.255833,-117º19'11W / -117.31972,,33.255833,-117.31972,50,1986-03-11,2003-10-29,15.24,236.15,False
